BusinessName,BusinessAreaModelKeyPhrase,BusinessAreaName,EntityModelKeyPhrase,EntityName,isDeleted
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Contact,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Complaint,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,StaffMember,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Property,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Case,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Appointment,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Contractor,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,DLO,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Job,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Component,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,JobLine,0
Vivid,people.orange.all,Repairs,join.sweet.chocolate,Location,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Appointment,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,ContractorCompany,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,DLO,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Job,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,JobLine,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Location,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,JobBundle,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Notification,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,SchedulableTime,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,OperativeCharacteristic,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Contact,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,DLOCompany,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,StaffMember,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Vehicle,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Plant,0
Vivid,people.orange.all,Scheduling,join.sweet.chocolate,Stock,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,PropertyGroup,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,Property,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,AsbestosRegister,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,Component,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,Location,0
Vivid,people.orange.all,AssetSustain,join.sweet.chocolate,FRASupplierCompany,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Officer,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Case,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Complaint,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Contact,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Tenancy,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,Household,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,RentPayment,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,LeaseholderCompany,0
Vivid,people.orange.all,CustomerServices,join.sweet.chocolate,ManagementCompany,0
Vivid,people.orange.all,Finance,join.sweet.chocolate,Invoice,0
Vivid,people.orange.all,Finance,join.sweet.chocolate,InvoiceLine,0
Vivid,people.orange.all,Finance,join.sweet.chocolate,InvoicePayment,0
Vivid,people.orange.all,People,join.sweet.chocolate,StaffMember,0
Vivid,people.orange.all,People,join.sweet.chocolate,Officer,0
Vivid,people.orange.all,People,join.sweet.chocolate,DLO,0
Vivid,people.orange.all,People,join.sweet.chocolate,OperativeCharacteristic,0
Vivid,people.orange.all,Strategy,join.sweet.chocolate,Survey,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,Job,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,ElectricalSafetyCertificate,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,GasSafetyCertificate,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,Appointment,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,ContractorCompany,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,DLO,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,DLOCompany,0
Vivid,people.orange.all,PropertyServices,join.sweet.chocolate,JobLine,0
